,density,pH,chlorides,pH,quality
0,0.9978,3.51,0.076,3.51,5
1,0.9968,3.2,0.098,3.2,5
2,0.997,3.26,0.092,3.26,5
3,0.998,3.16,0.075,3.16,6
4,0.9978,3.51,0.076,3.51,5
5,0.9978,3.51,0.075,3.51,5
6,0.9964,3.3,0.069,3.3,5
7,0.9946,3.39,0.065,3.39,7
8,0.9968,3.36,0.073,3.36,7
9,0.9978,3.35,0.071,3.35,5
10,0.9959,3.28,0.0969999999999999,3.28,5
11,0.9978,3.35,0.071,3.35,5
12,0.9943,3.58,0.089,3.58,5
13,0.9974,3.26,0.114,3.26,5
14,0.9986,3.16,0.176,3.16,5
15,0.9986,3.17,0.17,3.17,5
16,0.9969,3.3,0.092,3.3,7
17,0.9968,3.11,0.368,3.11,5
18,0.9974,3.38,0.086,3.38,4
19,0.9969,3.04,0.341,3.04,6
20,0.9968,3.39,0.077,3.39,6
21,0.9982,3.52,0.0819999999999999,3.52,5
22,0.9966,3.17,0.106,3.17,5
23,0.9968,3.17,0.084,3.17,5
24,0.9968,3.43,0.085,3.43,6
25,0.9955,3.34,0.08,3.34,5
26,0.9962,3.28,0.08,3.28,5
27,0.9966,3.17,0.106,3.17,5
28,0.9972,3.47,0.08,3.47,5
29,0.9964,3.38,0.0819999999999999,3.38,6
30,0.9958,3.35,0.089,3.35,5
31,0.9966,3.46,0.105,3.46,6
32,0.9966,3.17,0.083,3.17,5
33,0.9993,3.45,0.073,3.45,6
34,0.9957,3.38,0.103,3.38,5
35,0.9986,3.4,0.086,3.4,6
36,0.9975,3.42,0.086,3.42,6
37,0.9968,3.23,0.066,3.23,7
38,0.994,3.5,0.172,3.5,4
39,0.9978,3.33,0.074,3.33,5
40,0.9978,3.33,0.074,3.33,5
41,0.9976,3.26,0.088,3.26,4
42,0.9968,3.21,0.332,3.21,6
43,0.9968,3.3,0.069,3.3,5
44,0.9962,3.48,0.05,3.48,5
45,0.9934,3.9,0.054,3.9,4
46,0.997,3.25,0.114,3.25,5
47,0.9969,3.25,0.113,3.25,5
48,0.9958,3.34,0.066,3.34,5
49,0.9954,3.32,0.074,3.32,5
50,0.9971,3.15,0.074,3.15,5
51,0.9956,3.4,0.069,3.4,6
52,0.9955,3.39,0.068,3.39,6
53,0.997,3.2,0.081,3.2,5
54,0.9955,3.17,0.11,3.17,6
55,0.9978,3.34,0.084,3.34,5
56,0.9971,3.04,0.07,3.04,5
57,0.9983,3.26,0.111,3.26,5
58,0.9975,3.43,0.076,3.43,5
59,0.9962,3.41,0.074,3.41,6
60,0.998,3.44,0.079,3.44,5
61,0.9968,3.21,0.115,3.21,5
62,0.9968,3.38,0.085,3.38,7
63,0.9966,3.39,0.081,3.39,5
64,0.9962,3.41,0.086,3.41,5
65,0.9962,3.41,0.086,3.41,5
66,0.9968,3.42,0.079,3.42,5
67,0.9962,3.44,0.076,3.44,5
68,0.9969,3.28,0.074,3.28,5
69,0.9962,3.34,0.074,3.34,6
70,0.9967,3.32,0.076,3.32,6
71,0.9962,3.32,0.088,3.32,5
72,0.9961,3.31,0.084,3.31,5
73,0.9976,3.31,0.084,3.31,4
74,0.9984,3.28,0.094,3.28,5
75,0.9986,3.54,0.093,3.54,5
76,0.9986,3.54,0.093,3.54,5
77,0.9966,3.52,0.104,3.52,6
78,0.9958,3.38,0.086,3.38,5
79,0.9972,3.16,0.08,3.16,4
80,0.9958,3.41,0.069,3.41,5
81,0.9974,3.13,0.4639999999999999,3.13,5
82,0.997,3.36,0.086,3.36,5
83,0.9969,3.16,0.401,3.16,5
84,0.9959,3.44,0.069,3.44,6
85,0.9961,3.41,0.076,3.41,5
86,0.9972,2.93,0.11,2.93,6
87,0.9966,3.39,0.062,3.39,5
88,0.9978,3.14,0.107,3.14,5
89,0.9978,3.48,0.076,3.48,5
90,0.9964,3.23,0.079,3.23,5
91,0.9972,2.93,0.11,2.93,6
92,0.9972,2.93,0.11,2.93,5
93,0.9966,3.39,0.062,3.39,5
94,0.9938,3.75,0.045,3.75,4
95,0.9932,3.85,0.0579999999999999,3.85,6
96,0.9965,3.45,0.102,3.45,5
97,0.9963,3.25,0.07,3.25,5
98,0.9967,3.39,0.079,3.39,5
99,0.9972,3.3,0.08,3.3,6
100,0.9972,3.4,0.084,3.4,6
101,0.9959,3.31,0.075,3.31,6
102,0.9972,3.3,0.08,3.3,6
103,0.9967,3.29,0.077,3.29,5
104,0.996,3.33,0.07,3.33,5
105,0.9967,3.29,0.077,3.29,5
106,0.9973,3.08,0.467,3.08,5
107,0.9969,3.46,0.088,3.46,5
108,0.9976,3.37,0.091,3.37,6
109,0.9969,3.21,0.122,3.21,5
110,0.9964,3.19,0.104,3.19,5
111,0.9964,3.15,0.084,3.15,5
112,0.9964,3.15,0.085,3.15,5
113,0.9988,3.32,0.08,3.32,6
114,0.9964,3.19,0.104,3.19,5
115,0.9966,3.07,0.09,3.07,6
116,0.9978,3.39,0.077,3.39,6
117,0.997,3.37,0.0819999999999999,3.37,6
118,0.9962,3.21,0.119,3.21,6
119,0.9959,3.34,0.0969999999999999,3.34,6
120,0.9962,3.3,0.178,3.3,5
121,0.9962,3.21,0.119,3.21,6
122,0.998,3.49,0.075,3.49,5
123,0.9976,3.44,0.08,3.44,5
124,0.996,3.39,0.0819999999999999,3.39,5
125,0.9984,3.16,0.146,3.16,5
126,0.9964,3.53,0.081,3.53,5
127,0.9964,3.54,0.0819999999999999,3.54,5
128,0.9962,3.42,0.065,3.42,7
129,0.9955,3.42,0.072,3.42,5
130,0.9968,3.24,0.118,3.24,5
131,0.9937,3.63,0.049,3.63,5
132,0.9937,3.63,0.049,3.63,5
133,0.9952,3.4,0.06,3.4,6
134,0.9959,3.22,0.084,3.22,6
135,0.9965,3.19,0.09,3.19,5
136,0.9968,3.23,0.089,3.23,5
137,0.9972,3.48,0.081,3.48,5
138,0.9962,3.33,0.081,3.33,5
139,0.9962,3.32,0.081,3.32,5
140,0.9965,3.19,0.09,3.19,5
141,0.9968,3.23,0.089,3.23,5
142,0.9916,3.68,0.05,3.68,6
143,0.9954,3.34,0.066,3.34,5
144,0.9916,3.68,0.05,3.68,6
145,0.9968,3.17,0.1169999999999999,3.17,5
146,0.9944,3.54,0.087,3.54,5
147,0.9968,3.11,0.236,3.11,5
148,0.9959,3.42,0.074,3.42,6
149,0.9975,3.53,0.089,3.53,6
150,0.9958,3.33,0.077,3.33,6
151,0.9996,2.74,0.61,2.74,4
152,0.995,3.35,0.095,3.35,5
153,0.995,3.35,0.095,3.35,5
154,0.9973,3.42,0.07,3.42,5
155,0.9973,3.42,0.071,3.42,5
156,0.9973,3.42,0.07,3.42,5
157,0.9973,3.42,0.071,3.42,5
158,0.9969,3.48,0.073,3.48,5
159,0.9968,3.59,0.079,3.59,6
160,0.9959,3.2,0.09,3.2,5
161,0.9965,3.17,0.072,3.17,4
162,0.9964,3.33,0.076,3.33,6
163,0.9982,3.37,0.07,3.37,5
164,0.9981,3.37,0.07,3.37,5
165,0.9961,3.19,0.1,3.19,5
166,0.9956,3.34,0.085,3.34,5
167,0.9956,3.37,0.072,3.37,4
168,0.9953,3.47,0.089,3.47,6
169,0.9964,3.0,0.36,3.0,5
170,0.9972,3.36,0.0579999999999999,3.36,4
171,0.9972,3.29,0.073,3.29,6
172,0.9972,3.29,0.073,3.29,6
173,0.9961,3.42,0.068,3.42,6
174,0.9961,3.33,0.08,3.33,5
175,0.9958,3.35,0.085,3.35,5
176,0.9961,3.33,0.08,3.33,5
177,0.9972,3.58,0.087,3.58,6
178,0.9969,3.48,0.068,3.48,5
179,0.9969,3.19,0.067,3.19,5
180,0.9969,3.19,0.067,3.19,5
181,0.9972,3.12,0.27,3.12,5
182,0.9972,3.44,0.076,3.44,5
183,0.9971,3.54,0.077,3.54,5
184,0.997,3.52,0.079,3.52,6
185,0.9971,3.26,0.111,3.26,5
186,0.9972,3.34,0.0819999999999999,3.34,5
187,0.9976,3.39,0.084,3.39,5
188,0.9968,3.2,0.084,3.2,5
189,0.9968,3.2,0.0819999999999999,3.2,5
190,0.9976,3.23,0.077,3.23,5
191,0.9974,3.57,0.074,3.57,6
192,0.9969,3.28,0.099,3.28,5
193,0.9964,3.28,0.071,3.28,5
194,0.9964,3.28,0.071,3.28,5
195,0.9968,3.25,0.074,3.25,5
196,0.9968,3.46,0.074,3.46,5
197,0.9981,3.11,0.067,3.11,6
198,0.9924,3.57,0.046,3.57,7
199,0.9948,3.51,0.061,3.51,4
200,0.99695,3.22,0.0559999999999999,3.22,7
201,0.9975,3.04,0.0969999999999999,3.04,5
202,0.99545,3.36,0.075,3.36,5
203,0.9961,3.34,0.088,3.34,5
204,0.99615,3.34,0.089,3.34,6
205,0.9994,3.2,0.095,3.2,7
206,0.9994,3.2,0.095,3.2,7
207,0.99625,3.29,0.069,3.29,5
208,0.9966,3.22,0.1,3.22,5
209,0.998,3.31,0.054,3.31,7
210,0.99585,3.3,0.039,3.3,6
211,0.99685,3.35,0.083,3.35,6
212,0.998,3.21,0.059,3.21,6
213,0.9959,3.3,0.06,3.3,5
214,0.9974,3.24,0.092,3.24,6
215,0.9974,3.34,0.06,3.34,5
216,0.9962,3.14,0.1009999999999999,3.14,5
217,0.9967,3.36,0.072,3.36,5
218,0.9957,3.39,0.076,3.39,5
219,0.99655,3.3,0.08,3.3,5
220,0.9964,3.34,0.0819999999999999,3.34,6
221,0.9957,3.15,0.1009999999999999,3.15,5
222,0.99525,3.42,0.057,3.42,5
223,0.99815,3.28,0.083,3.28,6
224,0.99745,3.31,0.089,3.31,4
225,0.99615,3.37,0.073,3.37,6
226,0.9964,3.04,0.337,3.04,6
227,0.9984,3.39,0.089,3.39,5
228,0.99615,3.37,0.073,3.37,6
229,0.99685,3.46,0.081,3.46,5
230,0.9927,3.54,0.054,3.54,7
231,0.99625,3.37,0.078,3.37,6
232,0.998,3.34,0.09,3.34,6
233,0.99685,3.46,0.081,3.46,5
234,0.99685,3.32,0.065,3.32,6
235,0.99675,3.37,0.0969999999999999,3.37,6
236,0.99675,3.37,0.0969999999999999,3.37,6
237,0.99675,3.37,0.0969999999999999,3.37,6
